;Name;nZ;nD;nBn;nH0;nRot;nP;nTH;nLFw;nKc;nRo;nCp;nMu;nW0;nWF;xexp;xd;SolventSelector;NonSolventSelector
1;Water/Sugar;0,142;0,112;3;0,001;60;0,066;80;5;5,10E-01;1060;3800;2,83E-03;0,4;0,6;14,81;43,9;1;1
2;Water/Sugar;0,142;0,112;3;0,001;120;0,066;80;5;5,10E-01;1060;3800;2,83E-03;0,4;0,6;16,1;44,3;1;1
3;Water/Sugar;0,142;0,112;3;0,001;180;0,066;80;5;5,10E-01;1060;3800;2,83E-03;0,4;0,6;16,1;44,3;1;1
4;Water/Sugar;0,142;0,112;3;0,001;240;0,066;80;5;5,10E-01;1060;3800;2,83E-03;0,4;0,6;16,88;44,5;1;1
5;Water/Sugar;0,142;0,112;3;0,001;300;0,066;80;5;5,10E-01;1060;3800;2,83E-03;0,4;0,6;17,92;44,8;1;1
6;Water/Sugar;0,142;0,112;3;0,001;60;0,066;80;6;5,10E-01;1060;3800;2,83E-03;0,4;0,6;11,69;43;1;1
7;Water/Sugar;0,142;0,112;3;0,001;120;0,066;80;6;5,10E-01;1060;3800;2,83E-03;0,4;0,6;12,99;43,4;1;1
8;Water/Sugar;0,142;0,112;3;0,001;180;0,066;80;6;5,10E-01;1060;3800;2,83E-03;0,4;0,6;12,99;43,4;1;1
9;Water/Sugar;0,142;0,112;3;0,001;240;0,066;80;6;5,10E-01;1060;3800;2,83E-03;0,4;0,6;14,03;43,7;1;1
10;Water/Sugar;0,142;0,112;3;0,001;300;0,066;80;6;5,10E-01;1060;3800;2,83E-03;0,4;0,6;15,84;44,2;1;1
